Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,3880.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,3880.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,(((if True then (if (if False then (if False then (if False then True else False) else True) else True) then (if False then (if True then (\fresh_2:Integer -> (\fresh_1:Boolean -> fresh_2)) else (\fresh_2:Integer -> (\fresh_1:Boolean -> (if fresh_1 then fresh_2 else fresh_2)))) else (if (if True then False else False) then (\fresh_2:Integer -> (\fresh_1:Boolean -> 4)) else (\fresh_2:Integer -> (\fresh_1:Boolean -> 4)))) else (if False then (if (if ((\fresh_64:Object -> False) True) then True else (if True then True else False)) then (\fresh_2:Integer -> (\fresh_1:Boolean -> 1)) else (\fresh_2:Integer -> (\fresh_1:Boolean -> fresh_2))) else ((\fresh_74:Boolean -> (\fresh_2:Integer -> (\fresh_1:Boolean -> 4))) True))) else (\fresh_2:Integer -> (if ((if False then (\fresh_82:Top -> False) else (\fresh_82:Top -> False)) "jFEQCqyTTDvKJUhNCHrDTfTPvXZRGgScRNZtHLnNCeVgORZhcbjxaAUpIOCeOxhdoAOoJBZRlyCuXglZiWacZQbXkGijeFFvrKOUjyBqXwHWejGUxTjxXaKQuNkmkMF") then ((\fresh_98:String -> (if False then (\fresh_1:Boolean -> fresh_2) else (\fresh_1:Boolean -> fresh_2))) (if (if True then False else True) then "omEOZsfhpcQQLrPBUIEaCbHBgwzmBNfivcdauxGobuUdVKfgRTUMhNYKDaJaxIwuQuEevZjfvNDgiDvQMJFOYfWcfPBnmzQkIVqNtGeTZxTYFnURwTNlDuaYlkwgnzmeeeMwCLVZoVpTRTFoUEdJhMnjMw" else "SeHsKiBjjLGjgwGkQlmFLaiWAOQJramXecUpeuFKvImDtntvEJcnstspPOyABELiQMjWExWychyvQkKTUhgXOulzWsCmSRoJHKMTDpNwXTqjIigdack")) else (\fresh_1:Boolean -> (if ((\fresh_99:Integer -> fresh_1) fresh_2) then fresh_2 else ((\fresh_100:Boolean -> fresh_2) True)))))) (if False then ((if (if False then False else False) then (if ((\fresh_4:String -> False) (if False then "MPyshRIIdRWKNLZQANfhbmYtncNxRmEGQTGjyBPBHTTBVAxNjQnLdbloKqVzoOEKdZcwibpGUNyzuWqsliAnExzXMnyORphVfttkvGcZXQzWgCtxsBrKtWlutWaFPQdecrawainVlQYnltUdSoyMafPxxjWsGivOslkQnVTrrNQVBeLHgLwbuHtzzoGQRToSTJVcWmiPYCGcYZvCRkhauqToXKlvAwaKyHGNRqvpCesHegMMkoukzmEDYLYuaOTnKFaNuXrLpmbemMruKcIPZVoiWEIvLXDafTvmuZBXNITusmYhfIvdWlHzSqbAJrZFeWCbd" else "eAGLJDAKTAQFrWUaDVbfAOuMKgfWgDFjRfleJtDRmEJgoUfnxRdmcbltDfMFHkhgbdGrxKjYSyasLCZNOdoXpsTOSdzrKIqTARLHpmZVzhAIGckAwTpCTFcawthTYGRbnRgjLMetVCmUpBKumnpzzBEWRPPHlmoVcXpwbGFekWHXWBAoDqbyG")) then (\fresh_3:Object -> (if False then -170 else 351)) else (\fresh_3:Object -> 82)) else (if True then (\fresh_3:Object -> 44) else ((\fresh_23:Integer -> (\fresh_3:Object -> 411)) (if False then 398 else -128)))) <=Int) else (if True then -353 else (if False then (if (! (if True then False else False)) then ((\fresh_25:Boolean -> 320) True) else (if (if True then True else False) then (if False then -129 else -193) else (if False then -801 else 2))) else (if False then -1 else -36))))) True),170,10,16577.396,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,3880.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,((if True then (if (! (if True then True else True)) then (if (((\fresh_108:Integer -> ((\fresh_112:Integer -> !) (if False then fresh_108 else fresh_108))) -119) ((\fresh_104:String -> True) (if True then "OYAiCiqhPoIwdkBJ" else "oRaMxtFtBORdxUnCjUsYiURpAtcJCWplvOhRTnpVxeEJnrggUHtrhYvIBFXBHEIddgXzwAsmEKSNZPZfoNLvAYhxRzPxEaFYdWiKpGMjRWizwHuaOjJhAGQGGgTuVpUtOSZQbexqajCARAsxWuBKarYamOLUcPNXlCANWjWsHSELFYopFhhLKoKUuBAm"))) then ((if ((==Int 234) 646) then (if True then /Int else *Int) else (if False then -Int else (\fresh_113:Integer -> (\fresh_101:Integer -> 4)))) (if False then -15 else ((if True then (\fresh_115:Boolean -> 73) else (\fresh_115:Boolean -> -538)) False))) else (if ((\fresh_121:Double -> ((<Int 480) (if False then -114 else -21))) -25.833056300383383) then (if False then (*Int -601) else (\fresh_101:Integer -> (if (if False then False else True) then 4 else (if True then 4 else fresh_101)))) else (if (! False) then (\fresh_101:Integer -> 4) else (\fresh_101:Integer -> (if False then 1 else fresh_101))))) else (if ((if True then ((if False then --> else -->) True) else !) ((\fresh_131:Object -> (if True then True else False)) !=)) then (if False then (if False then (if True then (\fresh_101:Integer -> fresh_101) else (\fresh_101:Integer -> fresh_101)) else (if (if True then True else True) then (\fresh_101:Integer -> fresh_101) else (\fresh_101:Integer -> fresh_101))) else (\fresh_101:Integer -> 4)) else (\fresh_101:Integer -> 4))) else (\fresh_101:Integer -> 1)) 558),140,10,13955.991,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,(if (if True then True else True) then (if True then 4 else 1) else 4),10,3,4164.688,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,(if True then 4 else ((if True then (if ((\fresh_138:Integer -> True) ((\fresh_139:Top -> 737) -49)) then (\fresh_137:Object -> 1) else (\fresh_137:Object -> 1)) else (\fresh_137:Object -> 1)) (if False then True else -177.81163378386572))),24,8,5013.205,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,3880.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,3880.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,3880.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,3880.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,3880.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,3880.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,(if (if ((|| (if False then True else (! (if (if (if False then True else True) then True else False) then False else True)))) False) then False else (((\fresh_165:Boolean -> (if (if False then True else True) then ! else (\fresh_158:Boolean -> fresh_165))) False) (if False then False else (((\fresh_160:Top -> !) 435) True)))) then 4 else 4),45,10,6433.776,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,((if (((((\fresh_188:Object -> (\fresh_183:Boolean -> ==Int)) 526) ((<=Int (if False then 250 else -60)) 400)) (if ((\fresh_172:Integer -> True) ((if True then (\fresh_173:Integer -> fresh_173) else (\fresh_173:Integer -> fresh_173)) 153)) then 274 else -88)) -272) then (\fresh_169:Boolean -> (if fresh_169 then (if (! fresh_169) then (if True then 1 else 1) else 4) else (if True then (if fresh_169 then ((\fresh_201:Integer -> fresh_201) 367) else ((\fresh_202:Integer -> 4) ((\fresh_203:Integer -> 50) -44))) else 1))) else (if False then (\fresh_169:Boolean -> 1) else (if ((if False then ! else !) False) then (if False then (if True then (\fresh_169:Boolean -> 1) else (\fresh_169:Boolean -> 1)) else (\fresh_169:Boolean -> 4)) else (if ((if True then (\fresh_238:Top -> False) else (\fresh_238:Top -> True)) "WZIxcPLPYRNHUYpCWOahOIFvblFXSmetAriqYmGmmihYq") then (if (if False then (if (if False then True else False) then True else True) else False) then (\fresh_169:Boolean -> (if (! True) then (if True then 1 else 1) else 4)) else (\fresh_169:Boolean -> 4)) else (if False then (if True then (\fresh_169:Boolean -> 1) else (\fresh_169:Boolean -> 1)) else ((\fresh_260:String -> (\fresh_169:Boolean -> 4)) (if (if True then False else True) then "hHLGIwKOsBSNapKRTVqSnkApQZuBhWtmSFzHTpfwuAUxrNtarppLVqqhORLJZCYYcXxFnpxRUCNEiVRYWOjjcgqfEuXgdOvddjGQFoPSjxyhIyWXyiGWPdcI" else "vUzBEiEVPHKyuRXWQLZdJYPVGZYwMQMRViucULavvNGpGZmhnZOWtxc"))))))) False),134,10,13407.8,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,3880.0,4
