Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,2303.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,2303.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,2303.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,((((\fresh_3:Integer -> (\fresh_2:Integer -> (\fresh_1:Boolean -> 4))) 109) -621) True),10,7,2590.831,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,(if (! True) then (if (if False then (if True then False else False) else ((if True then (<=Int -420) else (\fresh_25:Integer -> (if True then True else True))) (string_length "wFEekpiEKOIXzBIizznzGsoftvJhTduzqWkeaJSjSByzdvVGUsSNNZlUXRjtx"))) then 1 else ((if False then (\fresh_29:Boolean -> (if fresh_29 then (if fresh_29 then 1 else 1) else (if False then 1 else 1))) else (\fresh_29:Boolean -> 1)) False)) else (if True then ((if False then (\fresh_32:Top -> ((\fresh_35:Integer -> fresh_35) 155)) else (\fresh_32:Top -> (if False then (if False then 1 else 1) else 4))) -389) else 1)),63,8,6062.036,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,(if (if False then (! False) else True) then 4 else (((if True then (\fresh_40:Integer -> (\fresh_39:Double -> 4)) else (\fresh_40:Integer -> (\fresh_39:Double -> fresh_40))) -247) -712.2849870050441)),20,7,3009.107,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,2303.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,(if False then 1 else (if False then ((if True then (\fresh_47:Boolean -> (if (if True then True else fresh_47) then (if fresh_47 then 1 else 1) else 1)) else (if True then (\fresh_47:Boolean -> 1) else (\fresh_47:Boolean -> (if False then 1 else 1)))) False) else 4)),30,8,3586.569,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,(if True then (if ((if True then ((\fresh_70:Top -> (\fresh_64:Double -> True)) 70.51841034371753) else (\fresh_64:Double -> True)) ((\fresh_65:Object -> -182.4735017006114) ||)) then 4 else 4) else 1),20,8,3040.77,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,((if True then (\fresh_72:Integer -> (if True then 4 else (if True then fresh_72 else fresh_72))) else (if False then (if (if True then False else True) then (/Int -505) else (\fresh_72:Integer -> fresh_72)) else ((if (if False then False else False) then ((\fresh_96:Integer -> -Int) -664) else +Int) ((\fresh_95:Boolean -> -171) (if False then False else False))))) ((if ((\fresh_74:Top -> (if False then False else True)) 580) then ((\fresh_75:Double -> (\fresh_73:Integer -> fresh_73)) -368.2903036309827) else ((\fresh_79:Boolean -> (+Int -205)) (if False then (! (if False then True else False)) else True))) 345)),70,8,6706.872,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,(((if (if False then False else True) then (\fresh_104:Double -> (\fresh_97:Integer -> 4)) else (\fresh_104:Double -> (\fresh_97:Integer -> 4))) 252.10315522169284) (if (if (if (if False then False else True) then (! True) else (! True)) then (if (! False) then False else True) else True) then -188 else ((if True then (\fresh_103:Integer -> -357) else (\fresh_103:Integer -> -241)) -108))),43,6,4479.038,4
