Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if (if False then False else (if False then False else True)) then 1 else ((\fresh_1:Integer -> 1) ((+Int 139) -382))),17,5,1581.316,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((if ((\fresh_23:String -> False) "oaxlzRcVqUgrsexRshyjmqoXwLxtVXqnevKMVickcRNtOrPVDtJWAowNbVOcfGethkkpizbUqkyIZefszkVVxYSdJNigGQPwDMMkTtwmQGEJoCuHOfTnnNPKvZfSYiTjuevBWGeDiMelkVEmsuiTFUiGlfC") then (\fresh_6:Integer -> (if True then 1 else (if False then fresh_6 else fresh_6))) else (\fresh_6:Integer -> 1)) 170),17,6,1565.421,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if ((\fresh_30:Integer -> (if False then True else False)) 454) then 1 else 1),10,5,1030.408,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((if (! (if (if False then True else False) then True else True)) then (\fresh_31:Boolean -> ((\fresh_36:Object -> 1) max)) else (\fresh_31:Boolean -> ((\fresh_46:Boolean -> 1) fresh_31))) ((\fresh_32:Integer -> False) -42)),25,6,2242.437,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if False then (((if True then (\fresh_48:String -> string_length) else (\fresh_48:String -> string_length)) (if False then "pmamkuSFOYvkRVCInyNsehBeWRRdGLXMEcbnkuqYdIhQrDZRHnaUksiPUCbfyIozAWJbZJbOVpgnvREJSNfmuyccnGuAkANPBoWRMMIZiebtJURQComsUpvYwyKSEWEMADdzHeKfuvQxIcIKNrNkePEgYyrJ" else "DVBrsWeqNuxlXmFVgRidzCfWfbXZ")) "SBNzVQbjPtKSVupdcPfdbUAwBaMbSzPPGcJcUGRCzloYrYDBenRwixhfoDIgqsINVqGJuZmdLaeVgPAyajxASNrrekJqmsKgTbelCwNYupYGpjiDvlJwAMWDgcjcLWDZRbeLbGgCQBKFknTdKkTXLIiqEtbloGFBaYFvFcpeEeEVbtzczaUGXyhBLefsCHAUEJvULAYRjgMUTTmnLYOsvrsMfmurOmJ") else (if (! (! False)) then 1 else 1)),23,6,2110.919,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(((\fresh_54:Boolean -> (\fresh_53:Double -> (if fresh_54 then 1 else 1))) True) -11.393680347247809),10,6,1089.328,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if ((if False then (\fresh_60:Top -> (if False then False else True)) else (\fresh_60:Top -> False)) (if False then True else 424)) then (if True then 1 else 1) else ((\fresh_61:Integer -> 1) -602)),23,6,2058.638,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((if True then (\fresh_62:Boolean -> 1) else (\fresh_62:Boolean -> 1)) (if True then (if True then True else False) else ((\fresh_68:Boolean -> False) False))),17,5,1544.621,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if False then (if True then 1 else ((\fresh_82:Boolean -> (if True then 1 else 1)) ((\fresh_83:Integer -> False) -75))) else 1),16,6,1460.788,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((if False then (\fresh_84:Top -> 1) else (\fresh_84:Top -> 1)) 489.70003804959384),8,4,873.578,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,586.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((if False then (\fresh_98:Boolean -> 1) else (\fresh_98:Boolean -> 1)) False),8,4,851.003,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if False then ((\fresh_122:Integer -> (if (if True then True else False) then fresh_122 else fresh_122)) 596) else ((\fresh_131:Object -> 1) -14.407861887946881)),16,6,1507.678,1
