Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
Integer,Integer,((\fresh_180:Boolean -> 217) (if False then True else True)),7,3,692.652,217
Integer,Integer,(if (if (if (! False) then True else (if True then True else False)) then True else True) then 156 else (if (if True then False else False) then -416 else -75)),21,5,1921.259,156
Integer,Integer,((\fresh_184:Object -> 575) (--> False)),6,3,672.765,575
Integer,Integer,626,1,1,429.467,626
Integer,Integer,597,1,1,428.341,597
Integer,Integer,(if False then 768 else -210),4,2,492.409,-210
Integer,Integer,((if True then (\fresh_195:Integer -> -351) else (\fresh_195:Integer -> -8)) -105),8,4,775.232,-351
Integer,Integer,554,1,1,428.487,554
Integer,Integer,(if True then 512 else -61),4,2,496.025,512
Integer,Integer,(if False then -112 else -145),4,2,488.32,-145
