Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if False then (if False then 1 else ((if (if True then (! True) else False) then (if ((\fresh_298:Object -> False) 12.479005826957554) then (\fresh_282:Boolean -> 1) else (\fresh_282:Boolean -> (if False then 1 else 1))) else (\fresh_282:Boolean -> 1)) ((if (if True then True else True) then (!=Int -75) else (\fresh_283:Integer -> False)) -121))) else 1),40,8,4188.628,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if ((if True then (\fresh_304:Integer -> True) else (\fresh_304:Integer -> True)) (if True then ((\fresh_305:Integer -> 316) (if (if True then True else True) then 247 else (if True then 85 else -125))) else (if False then (if False then -196 else 398) else (if True then 16 else -315)))) then ((\fresh_308:Integer -> ((\fresh_318:Top -> 1) (if False then "ADYqKthIQMSvunBoiWvpboRTzpyMCLUxKytsvtewNUhFfnDOCzLspLwEMawpJqOnCEjrzSSsPYWdkMQuIzwlPMmgLSgMwQPDtYfzJEeOQWGxfCKgHeySFVWvqcgkCurHUxVQADvZtdNXwsxDhIAaebXLZmHQqFxxMGkTFDsu" else -445.2942727259559))) (if True then (((\fresh_317:Boolean -> (\fresh_309:Integer -> fresh_309)) True) ((\fresh_312:String -> 285) ((\fresh_313:Integer -> "KpKtQZealJzDzdewznaHTpyvqyfERwRgjbblVKHAvlnsyClXOYQUtWuOMbkWRtkQpNFJmxGDePZcqNOufKiOgkXJ") 802))) else -365)) else 1),59,8,5783.885,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((\fresh_321:Integer -> (if (if False then ((\fresh_333:Boolean -> fresh_333) True) else True) then 1 else ((\fresh_334:Boolean -> 1) False))) ((if False then (if ((if True then (if False then ! else !) else !) (if True then True else False)) then ((if True then % else *Int) -164) else (\fresh_322:Integer -> fresh_322)) else ((\fresh_328:Boolean -> (+Int (if fresh_328 then 25 else -359))) (if True then True else True))) -507)),52,8,5204.012,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
