Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
Integer,Integer,-316,1,1,79.791,-316
Integer,Integer,-233,1,1,80.541,-233
Integer,Integer,-231,1,1,80.543,-231
Integer,Integer,284,1,1,88.543,284
Integer,Integer,-191,1,1,81.714,-191
Integer,Integer,-140,1,1,82.847,-140
Integer,Integer,-104,1,1,84.265,-104
Integer,Integer,812,1,1,96.215,812
Integer,Integer,580,1,1,92.915,580
Integer,Integer,10,1,1,84.202,10
Integer,Integer,290,1,1,88.702,290
Integer,Integer,-229,1,1,80.579,-229
Integer,Integer,-509,1,1,88.503,-509
Integer,Integer,576,1,1,92.905,576
Integer,Integer,-95,1,1,84.514,-95
Integer,Integer,221,1,1,87.578,221
Integer,Integer,-267,1,1,80.56,-267
Integer,Integer,-6,1,1,84.592,-6
Integer,Integer,300,1,1,89.078,300
Integer,Integer,-547,1,1,90.538,-547
Integer,Integer,17,1,1,84.044,17
Integer,Integer,718,1,1,94.795,718
Integer,Integer,53,1,1,83.801,53
Integer,Integer,-448,1,1,84.547,-448
Integer,Integer,93,1,1,84.089,93
Integer,Integer,408,1,1,90.919,408
Integer,Integer,-332,1,1,80.105,-332
Integer,Integer,550,1,1,93.087,550
Integer,Integer,-314,1,1,79.838,-314
Integer,Integer,-402,1,1,82.787,-402
Integer,Integer,-246,1,1,80.593,-246
Integer,Integer,344,1,1,90.359,344
Integer,Integer,494,1,1,93.024,494
Integer,Integer,-266,1,1,80.549,-266
Integer,Integer,137,1,1,84.39,137
Integer,Integer,39,1,1,83.534,39
Integer,Integer,114,1,1,84.07,114
Integer,Integer,-196,1,1,81.572,-196
Integer,Integer,-418,1,1,83.347,-418
Integer,Integer,-813,1,1,94.09,-813
Integer,Integer,-322,1,1,79.801,-322
Integer,Integer,128,1,1,84.153,128
Integer,Integer,204,1,1,87.261,204
Integer,Integer,-146,1,1,82.734,-146
Integer,Integer,-359,1,1,81.113,-359
Integer,Integer,640,1,1,94.168,640
Integer,Integer,268,1,1,88.336,268
Integer,Integer,414,1,1,90.95,414
Integer,Integer,371,1,1,90.745,371
Integer,Integer,157,1,1,85.531,157
Integer,Integer,-89,1,1,84.73,-89
Integer,Integer,-139,1,1,82.88,-139
Integer,Integer,418,1,1,91.033,418
Integer,Integer,-327,1,1,79.888,-327
Integer,Integer,107,1,1,84.061,107
Integer,Integer,693,1,1,94.612,693
Integer,Integer,-260,1,1,80.56,-260
Integer,Integer,-314,1,1,79.838,-314
Integer,Integer,-13,1,1,84.778,-13
Integer,Integer,81,1,1,84.103,81
Integer,Integer,273,1,1,88.364,273
Integer,Integer,-430,1,1,83.77,-430
Integer,Integer,138,1,1,84.428,138
Integer,Integer,-437,1,1,84.048,-437
Integer,Integer,-377,1,1,81.93,-377
Integer,Integer,-357,1,1,81.05,-357
Integer,Integer,-182,1,1,82.035,-182
Integer,Integer,-706,1,1,93.832,-706
Integer,Integer,-462,1,1,85.334,-462
Integer,Integer,-318,1,1,79.776,-318
Integer,Integer,-739,1,1,93.69,-739
Integer,Integer,-861,1,1,95.127,-861
Integer,Integer,-405,1,1,82.876,-405
Integer,Integer,-665,1,1,93.898,-665
Integer,Integer,-552,1,1,90.798,-552
Integer,Integer,-455,1,1,84.907,-455
Integer,Integer,-892,1,1,95.964,-892
Integer,Integer,218,1,1,87.499,218
Integer,Integer,36,1,1,83.598,36
Integer,Integer,-754,1,1,93.7,-754
Integer,Integer,-787,1,1,93.889,-787
Integer,Integer,792,1,1,95.777,792
Integer,Integer,-1379,1,1,98.97,-1379
Integer,Integer,-133,1,1,83.162,-133
Integer,Integer,-475,1,1,86.196,-475
Integer,Integer,143,1,1,84.698,143
Integer,Integer,753,1,1,95.213,753
Integer,Integer,-487,1,1,87.023,-487
Integer,Integer,-34,1,1,85.311,-34
Integer,Integer,426,1,1,91.317,426
Integer,Integer,-153,1,1,82.663,-153
Integer,Integer,127,1,1,84.139,127
Integer,Integer,-213,1,1,81.082,-213
Integer,Integer,-328,1,1,79.919,-328
Integer,Integer,-222,1,1,80.781,-222
Integer,Integer,582,1,1,92.956,582
Integer,Integer,-825,1,1,94.288,-825
Integer,Integer,-366,1,1,81.417,-366
Integer,Integer,40,1,1,83.53,40
Integer,Integer,42,1,1,83.556,42
