Typee,Individual,Diversity,Semantic Diversity
z3-history Natural,4294966334,76.56613315119375,317827506218
z3-history Natural,4294966333,76.70294201898281,317827506160
z3-history Natural,4294966332,76.85749865869299,317827506104
z3-history Natural,4294966331,77.02981868210607,317827506050
z3-history Natural,4294966347,76.1173346150716,317827507126
z3-history Natural,4294966346,76.10447345490556,317827507050
z3-history Natural,4294966354,76.70294201898281,317827507714
z3-history Natural,4294966330,77.219919495285,317827505998
z3-history Natural,4294966329,77.42782030033214,317827505948
z3-history Natural,4294966348,76.14788439489573,317827507204
z3-history Natural,4294966335,76.44705823624824,317827506278
z3-history Natural,1,47.53400420057074,111669127606
z3-history Natural,2,47.024145657142164,111669127508
z3-history Natural,3,46.52903702741634,111669127412
z3-history Natural,4294966336,76.34570524637712,317827506340
z3-history Natural,4294966337,76.2620639439046,317827506404
z3-history Natural,4,46.04862830042054,111669127318
z3-history Natural,5,45.58287095002074,111669127226
z3-history Natural,6,45.131717930019946,111669127136
z3-history Natural,4294966349,76.1961258802143,317827507284
z3-history Natural,4294966350,76.2620639439046,317827507366
z3-history Natural,7,44.69512366940601,111669127048
z3-history Natural,8,44.27304406774858,111669126962
z3-history Natural,9,43.86543649074447,111669126878
z3-history Natural,10,43.47225976591114,111669126796
z3-history Natural,11,43.09347417842789,111669126716
z3-history Natural,12,42.72904146712429,111669126638
z3-history Natural,13,42.378924820615346,111669126562
z3-history Natural,14,42.04308887358323,111669126488
z3-history Natural,4294966338,76.19612588021431,317827506470
z3-history Natural,4294966351,76.3457052463771,317827507450
z3-history Natural,15,41.72149970320502,111669126416
z3-history Natural,16,41.41412482572611,111669126346
z3-history Natural,17,41.120933193179106,111669126278
z3-history Natural,18,40.84189519024757,111669126212
z3-history Natural,19,40.57698263127464,111669126148
z3-history Natural,20,40.32616875741598,111669126086
z3-history Natural,21,40.08942823393686,111669126026
z3-history Natural,22,39.86673714765308,111669125968
z3-history Natural,23,39.658073004515536,111669125912
z3-history Natural,24,39.46341472733804,111669125858
z3-history Natural,25,39.282742653668365,111669125806
z3-history Natural,26,39.11603853380208,111669125756
z3-history Natural,4294966352,76.44705823624824,317827507536
z3-history Natural,27,38.96328552893922,111669125708
z3-history Natural,28,38.824468209483314,111669125662
z3-history Natural,29,38.69957255348292,111669125618
z3-history Natural,30,38.5885859452152,111669125576
z3-history Natural,31,38.49149717391164,111669125536
z3-history Natural,4294966339,76.14788439489573,317827506538
z3-history Natural,32,38.40829643262563,111669125498
z3-history Natural,33,38.338975317241925,111669125462
z3-history Natural,34,38.28352682562764,111669125428
z3-history Natural,35,38.24194535692502,111669125396
z3-history Natural,36,38.214226710985734,111669125366
z3-history Natural,37,38.20036808794654,111669125338
z3-history Natural,38,38.20036808794655,111669125312
z3-history Natural,39,38.214226710985734,111669125288
z3-history Natural,4294966353,76.56613315119375,317827507624
z3-history Natural,40,38.241945356925015,111669125266
z3-history Natural,4294966355,76.857498658693,317827507806
z3-history Natural,41,38.28352682562763,111669125246
z3-history Natural,42,38.33897531724192,111669125228
z3-history Natural,43,38.40829643262563,111669125212
z3-history Natural,44,38.49149717391162,111669125198
z3-history Natural,4294966340,76.1173346150716,317827506608
z3-history Natural,45,38.58858594521518,111669125186
z3-history Natural,46,38.699572553482895,111669125176
z3-history Natural,47,38.82446820948331,111669125168
z3-history Natural,48,38.96328552893921,111669125162
z3-history Natural,49,39.116038533802076,111669125158
z3-history Natural,50,39.28274265366835,111669125156
z3-history Natural,51,39.463414727338034,111669125156
z3-history Natural,4294966341,76.10447345490556,317827506680
z3-history Natural,4294966356,77.02981868210607,317827507900
z3-history Natural,52,39.65807300451553,111669125158
z3-history Natural,53,39.86673714765307,111669125162
z3-history Natural,54,40.08942823393684,111669125168
z3-history Natural,55,40.32616875741596,111669125176
z3-history Natural,56,40.57698263127461,111669125186
z3-history Natural,57,40.84189519024754,111669125198
z3-history Natural,58,41.12093319317908,111669125212
z3-history Natural,59,41.41412482572609,111669125228
z3-history Natural,4294966357,77.219919495285,317827507996
z3-history Natural,4294966358,77.42782030033217,317827508094
z3-history Natural,60,41.721499703205,111669125246
z3-history Natural,61,42.043088873583216,111669125266
z3-history Natural,62,42.37892482061533,111669125288
z3-history Natural,63,42.72904146712427,111669125312
z3-history Natural,64,43.093474178427876,111669125338
z3-history Natural,65,43.47225976591112,111669125366
z3-history Natural,66,43.86543649074444,111669125396
z3-history Natural,67,44.273044067748565,111669125428
z3-history Natural,68,44.69512366940599,111669125462
z3-history Natural,69,45.131717930019924,111669125498
z3-history Natural,70,45.58287095002073,111669125536
z3-history Natural,71,46.04862830042053,111669125576
z3-history Natural,72,46.529037027416315,111669125618
z3-history Natural,73,47.02414565714215,111669125662
z3-history Natural,74,47.534004200570735,111669125708
